                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0319,                 2.5562,                 1.1704,                0.75228,                0.72514,                0.79217,                0.59857,                0.83376,                 1.2653,                 1.0781,              0.0033143,              0.0033143,              0.0033143
                      2,                0.88835,                0.97639,                 1.0791,                0.88462,                0.85138,                0.91549,                0.71841,                0.76449,                0.77898,                 1.0089,              0.0065818,              0.0065818,              0.0065818
                      3,                0.87407,                0.83839,                 1.0632,                0.78618,                0.66224,                0.76717,                0.56275,                0.97121,                 1.2104,                 1.1217,              0.0097833,              0.0097833,              0.0097833
                      4,                0.85384,                0.77762,                 1.0568,                0.90059,                0.87542,                0.93184,                0.74906,                0.70991,                0.68087,                0.99016,               0.009703,               0.009703,               0.009703
                      5,                0.82276,                0.71811,                 1.0453,                0.89423,                0.86132,                0.92607,                0.72616,                0.77924,                0.71233,                 1.0208,               0.009703,               0.009703,               0.009703
                      6,                0.80182,                 0.6798,                 1.0377,                0.92281,                0.90151,                0.95301,                0.78368,                0.67072,                0.55498,                0.97017,               0.009604,               0.009604,               0.009604
                      7,                 0.7868,                0.64763,                 1.0331,                0.92614,                 0.9045,                0.95385,                0.78645,                 0.6714,                0.53374,                0.96867,               0.009505,               0.009505,               0.009505
                      8,                0.77299,                0.62023,                 1.0263,                0.91914,                0.88543,                0.94642,                0.77014,                0.69226,                 0.5714,                0.98465,               0.009406,               0.009406,               0.009406
                      9,                0.76613,                0.59992,                 1.0244,                0.93564,                0.91559,                0.96275,                0.81105,                0.62776,                0.47596,                0.95154,               0.009307,               0.009307,               0.009307
                     10,                0.75701,                0.58219,                 1.0206,                  0.932,                0.91395,                0.96079,                0.80933,                0.61396,                0.47823,                0.94385,               0.009208,               0.009208,               0.009208
                     11,                0.75372,                0.56729,                 1.0179,                0.92671,                0.89809,                0.95231,                0.78622,                0.69111,                0.52716,                0.97055,               0.009109,               0.009109,               0.009109
                     12,                0.74417,                0.55759,                 1.0166,                0.93758,                0.92381,                0.96374,                0.80835,                0.62972,                0.45726,                0.95261,                0.00901,                0.00901,                0.00901
                     13,                0.73718,                0.54563,                 1.0128,                0.94486,                0.92448,                0.96751,                0.81886,                0.61534,                0.43672,                0.94148,               0.008911,               0.008911,               0.008911
                     14,                0.73226,                 0.5377,                 1.0123,                0.94285,                0.92148,                0.96614,                0.80956,                0.64782,                0.45452,                0.95139,               0.008812,               0.008812,               0.008812
                     15,                0.73082,                0.53134,                 1.0094,                0.94231,                 0.9238,                0.96662,                0.81036,                0.64006,                0.44013,                0.95058,               0.008713,               0.008713,               0.008713
                     16,                0.72466,                0.52437,                  1.007,                0.94953,                0.92629,                0.96975,                0.82879,                0.60007,                0.41879,                 0.9362,               0.008614,               0.008614,               0.008614
                     17,                0.71923,                0.51601,                 1.0046,                0.95066,                0.93336,                0.97122,                0.83414,                0.58818,                0.40449,                 0.9292,               0.008515,               0.008515,               0.008515
                     18,                0.72043,                0.51033,                 1.0048,                0.95455,                 0.9369,                 0.9734,                0.83675,                0.58984,                 0.3974,                0.92885,               0.008416,               0.008416,               0.008416
                     19,                0.71717,                0.50691,                 1.0052,                0.94738,                0.93077,                 0.9711,                  0.829,                0.59929,                 0.4104,                0.93297,               0.008317,               0.008317,               0.008317
                     20,                0.71419,                0.50491,                 1.0034,                0.94249,                0.92271,                0.96626,                0.80478,                0.68574,                0.43649,                0.95244,               0.008218,               0.008218,               0.008218
                     21,                0.70972,                0.49762,                  1.001,                0.95237,                0.93875,                0.97469,                0.84061,                0.58114,                0.38769,                0.92554,               0.008119,               0.008119,               0.008119
                     22,                0.71075,                0.49406,                 1.0012,                0.94254,                 0.9116,                0.96491,                0.80954,                0.66073,                0.44014,                0.94694,                0.00802,                0.00802,                0.00802
                     23,                 0.7017,                0.48836,                0.99801,                0.95269,                0.93569,                0.97327,                0.82881,                0.62963,                0.39808,                0.93409,               0.007921,               0.007921,               0.007921
                     24,                 0.7024,                0.48703,                0.99718,                0.94745,                0.93851,                0.97327,                0.82603,                0.63841,                0.40191,                0.93257,               0.007822,               0.007822,               0.007822
                     25,                0.70209,                0.48444,                0.99757,                0.95353,                0.93323,                0.97393,                0.83819,                0.58828,                0.38951,                0.92347,               0.007723,               0.007723,               0.007723
                     26,                0.70134,                0.48091,                0.99648,                0.92959,                0.90334,                0.95771,                0.79648,                0.66859,                0.47487,                0.96349,               0.007624,               0.007624,               0.007624
                     27,                0.69873,                0.47907,                0.99682,                0.95745,                0.94269,                0.97687,                0.84349,                0.57833,                 0.3655,                0.92159,               0.007525,               0.007525,               0.007525
                     28,                0.69461,                0.47538,                0.99524,                0.95488,                0.93802,                0.97584,                0.84553,                0.56918,                0.37256,                0.91902,               0.007426,               0.007426,               0.007426
                     29,                0.69702,                0.47336,                0.99427,                0.95841,                0.94059,                0.97619,                0.83569,                0.62438,                0.37843,                0.92635,               0.007327,               0.007327,               0.007327
                     30,                 0.6905,                0.47064,                0.99179,                0.94308,                0.92632,                0.97005,                0.81747,                 0.6665,                0.41114,                0.93972,               0.007228,               0.007228,               0.007228
                     31,                0.69084,                0.46941,                0.99205,                0.92634,                0.90967,                0.96184,                0.80861,                0.62469,                0.44778,                0.94728,               0.007129,               0.007129,               0.007129
                     32,                0.68931,                0.46576,                0.99255,                 0.9604,                0.94364,                0.97779,                0.85148,                0.56151,                0.35348,                  0.916,                0.00703,                0.00703,                0.00703
                     33,                0.68527,                0.46408,                0.99037,                0.95929,                0.94568,                0.97796,                0.85385,                0.55723,                0.35189,                 0.9137,               0.006931,               0.006931,               0.006931
                     34,                0.68508,                  0.461,                0.98888,                0.96183,                0.94365,                0.97841,                0.85448,                0.55121,                 0.3495,                0.90985,               0.006832,               0.006832,               0.006832
                     35,                 0.6885,                0.46334,                0.99182,                0.95744,                 0.9453,                0.97857,                0.85381,                0.55722,                0.35148,                0.91034,               0.006733,               0.006733,               0.006733
                     36,                0.68125,                0.45746,                0.98789,                 0.9585,                0.94637,                0.97824,                0.85327,                0.56736,                0.35077,                0.91087,               0.006634,               0.006634,               0.006634
                     37,                0.68063,                0.45497,                0.98618,                0.95887,                0.95087,                0.97926,                0.85868,                0.55199,                0.34135,                 0.9086,               0.006535,               0.006535,               0.006535
                     38,                0.68015,                0.45335,                0.98794,                0.96018,                0.94272,                0.97821,                0.85265,                0.55992,                0.35015,                0.91333,               0.006436,               0.006436,               0.006436
                     39,                0.67757,                0.45396,                0.98757,                0.94765,                0.92401,                0.97069,                0.82434,                 0.6414,                0.40082,                 0.9345,               0.006337,               0.006337,               0.006337
                     40,                0.67981,                0.45131,                0.98736,                0.95963,                 0.9501,                0.97924,                0.85939,                0.54357,                0.33738,                0.90592,               0.006238,               0.006238,               0.006238
                     41,                0.67813,                0.45085,                0.98341,                0.95623,                0.94199,                0.97701,                0.83878,                0.62408,                0.37016,                0.92182,               0.006139,               0.006139,               0.006139
                     42,                0.67495,                0.44781,                0.98384,                0.78418,                0.68775,                0.78113,                0.58571,                0.86621,                0.90297,                 1.1737,                0.00604,                0.00604,                0.00604
                     43,                0.67216,                0.44539,                0.98275,                0.96278,                0.94823,                0.97937,                0.86069,                0.54423,                  0.334,                0.90429,               0.005941,               0.005941,               0.005941
                     44,                0.67437,                0.44486,                0.98322,                0.96211,                0.94759,                0.97927,                0.85837,                0.55924,                0.34025,                0.90599,               0.005842,               0.005842,               0.005842
                     45,                0.67366,                0.44443,                0.98244,                0.95996,                0.94791,                 0.9792,                0.85611,                0.56586,                0.34188,                0.90591,               0.005743,               0.005743,               0.005743
                     46,                0.66928,                0.44105,                0.98182,                0.96248,                 0.9508,                0.97997,                 0.8615,                0.54304,                0.33013,                0.90419,               0.005644,               0.005644,               0.005644
                     47,                0.67011,                0.44005,                0.98117,                0.96114,                0.95096,                0.97943,                0.86063,                0.55266,                0.33488,                0.90346,               0.005545,               0.005545,               0.005545
                     48,                0.67147,                0.44137,                0.98131,                0.96244,                0.94842,                0.97937,                0.85736,                0.56417,                0.34008,                0.90493,               0.005446,               0.005446,               0.005446
                     49,                0.66853,                0.43869,                0.97831,                 0.9637,                0.94928,                0.98022,                0.86082,                0.54437,                0.32927,                0.90428,               0.005347,               0.005347,               0.005347
                     50,                  0.669,                0.43946,                0.98178,                0.96426,                0.95183,                0.98088,                0.86365,                0.53924,                0.32502,                0.90179,               0.005248,               0.005248,               0.005248
                     51,                0.66617,                0.43568,                0.97955,                0.96214,                0.95327,                0.98073,                 0.8629,                0.53997,                0.32609,                0.90148,               0.005149,               0.005149,               0.005149
                     52,                0.66694,                0.43617,                 0.9795,                0.96219,                0.95096,                0.98023,                0.86125,                0.55324,                0.33269,                0.90249,                0.00505,                0.00505,                0.00505
                     53,                0.66472,                0.43354,                0.97923,                0.96335,                0.95288,                0.98102,                0.86556,                0.53938,                0.32479,                0.89989,               0.004951,               0.004951,               0.004951
