                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0576,                 2.4427,                 1.0604,                0.85015,                0.83671,                0.87922,                0.65676,                0.76231,                0.98018,                0.92334,              0.0033143,              0.0033143,              0.0033143
                      2,                0.87839,                0.82061,                0.95846,                0.89965,                0.89723,                0.93348,                0.70718,                0.73727,                0.64937,                0.90684,              0.0065818,              0.0065818,              0.0065818
                      3,                0.86963,                 0.7255,                0.95656,                0.88478,                0.86416,                 0.8969,                0.66339,                 0.7898,                0.69376,                0.92712,              0.0097833,              0.0097833,              0.0097833
                      4,                0.83678,                0.66337,                0.94911,                0.93949,                0.92485,                0.95309,                  0.741,                 0.6917,                0.53506,                 0.8948,               0.009703,               0.009703,               0.009703
                      5,                0.79782,                0.61062,                 0.9387,                0.93488,                0.92643,                 0.9562,                0.74406,                0.69521,                0.50528,                 0.8979,               0.009703,               0.009703,               0.009703
                      6,                0.77559,                0.57746,                0.93347,                0.94682,                0.93847,                0.96445,                0.76922,                0.64109,                0.46151,                0.88151,               0.009604,               0.009604,               0.009604
                      7,                0.75712,                0.55135,                0.92961,                0.95409,                0.94259,                0.96711,                0.77307,                0.63628,                0.43811,                0.88033,               0.009505,               0.009505,               0.009505
                      8,                0.74622,                0.52658,                0.92417,                0.93427,                0.91605,                0.93946,                0.70464,                0.79721,                0.47377,                0.90993,               0.009406,               0.009406,               0.009406
                      9,                0.73491,                0.50913,                0.92238,                 0.9383,                 0.9242,                0.95645,                0.75011,                0.68016,                0.47119,                0.89938,               0.009307,               0.009307,               0.009307
                     10,                0.72785,                0.49549,                0.91977,                0.95583,                0.94439,                 0.9707,                0.79061,                0.61241,                0.41415,                0.87305,               0.009208,               0.009208,               0.009208
                     11,                0.72087,                0.48315,                0.91744,                0.95392,                0.94375,                0.96671,                0.78402,                0.61864,                 0.3983,                0.87347,               0.009109,               0.009109,               0.009109
                     12,                0.71529,                0.47463,                0.91692,                0.95999,                0.94998,                0.97199,                0.79328,                 0.6057,                0.38474,                0.87054,                0.00901,                0.00901,                0.00901
                     13,                0.70708,                0.46514,                0.91447,                0.96184,                0.94886,                0.97056,                0.77537,                0.66062,                0.39816,                  0.878,               0.008911,               0.008911,               0.008911
                     14,                0.70249,                0.45815,                0.91242,                0.95206,                0.94099,                0.96859,                0.78563,                0.62114,                0.40596,                0.87956,               0.008812,               0.008812,               0.008812
                     15,                0.69731,                0.45091,                0.91111,                 0.9591,                0.95288,                0.97257,                0.79847,                0.60411,                0.36972,                0.86794,               0.008713,               0.008713,               0.008713
