                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0319,                 2.5562,                 1.1704,                0.75228,                0.72514,                0.79217,                0.59857,                0.83376,                 1.2653,                 1.0781,              0.0033143,              0.0033143,              0.0033143
                      2,                0.88835,                0.97639,                 1.0791,                0.88462,                0.85138,                0.91549,                0.71841,                0.76449,                0.77898,                 1.0089,              0.0065818,              0.0065818,              0.0065818
                      3,                0.87407,                0.83839,                 1.0632,                0.78618,                0.66224,                0.76717,                0.56275,                0.97121,                 1.2104,                 1.1217,              0.0097833,              0.0097833,              0.0097833
                      4,                0.85384,                0.77762,                 1.0568,                0.90059,                0.87542,                0.93184,                0.74906,                0.70991,                0.68087,                0.99016,               0.009703,               0.009703,               0.009703
                      5,                0.82276,                0.71811,                 1.0453,                0.89423,                0.86132,                0.92607,                0.72616,                0.77924,                0.71233,                 1.0208,               0.009703,               0.009703,               0.009703
                      6,                0.80182,                 0.6798,                 1.0377,                0.92281,                0.90151,                0.95301,                0.78368,                0.67072,                0.55498,                0.97017,               0.009604,               0.009604,               0.009604
                      7,                 0.7868,                0.64763,                 1.0331,                0.92614,                 0.9045,                0.95385,                0.78645,                 0.6714,                0.53374,                0.96867,               0.009505,               0.009505,               0.009505
                      8,                0.77299,                0.62023,                 1.0263,                0.91914,                0.88543,                0.94642,                0.77014,                0.69226,                 0.5714,                0.98465,               0.009406,               0.009406,               0.009406
                      9,                0.76613,                0.59992,                 1.0244,                0.93564,                0.91559,                0.96275,                0.81105,                0.62776,                0.47596,                0.95154,               0.009307,               0.009307,               0.009307
                     10,                0.75701,                0.58219,                 1.0206,                  0.932,                0.91395,                0.96079,                0.80933,                0.61396,                0.47823,                0.94385,               0.009208,               0.009208,               0.009208
                     11,                0.75372,                0.56729,                 1.0179,                0.92671,                0.89809,                0.95231,                0.78622,                0.69111,                0.52716,                0.97055,               0.009109,               0.009109,               0.009109
                     12,                0.74417,                0.55759,                 1.0166,                0.93758,                0.92381,                0.96374,                0.80835,                0.62972,                0.45726,                0.95261,                0.00901,                0.00901,                0.00901
