                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0942,                 2.5458,                 1.0923,                0.84378,                0.82207,                0.87422,                0.64242,                0.79782,                0.93694,                0.94105,              0.0033143,              0.0033143,              0.0033143
                      2,                0.89922,                0.84554,                0.97722,                0.91154,                0.89603,                0.93079,                0.70233,                0.74625,                0.65723,                0.90964,              0.0065818,              0.0065818,              0.0065818
                      3,                0.88501,                0.74359,                0.97049,                 0.8863,                 0.8702,                0.92034,                0.66927,                0.81761,                0.77929,                0.95446,              0.0097833,              0.0097833,              0.0097833
                      4,                0.85652,                0.68514,                 0.9635,                0.89352,                0.86259,                0.91291,                0.68288,                0.78192,                0.66151,                0.94457,               0.009703,               0.009703,               0.009703
                      5,                0.81487,                0.62494,                0.95055,                0.94372,                0.93136,                0.95942,                0.75233,                0.66317,                0.49907,                0.89334,               0.009703,               0.009703,               0.009703
                      6,                0.79125,                 0.5916,                0.94434,                0.93291,                0.91259,                0.94383,                0.70652,                0.78208,                 0.5196,                0.92211,               0.009604,               0.009604,               0.009604
                      7,                0.77324,                0.56488,                0.94005,                0.94692,                0.93834,                0.96567,                0.76921,                0.64806,                0.45654,                0.88985,               0.009505,               0.009505,               0.009505
                      8,                0.75683,                0.53759,                0.93439,                0.95788,                0.94383,                0.96716,                0.77081,                0.65056,                0.43263,                0.88619,               0.009406,               0.009406,               0.009406
                      9,                0.74746,                0.52261,                0.93217,                0.93616,                0.93122,                0.96079,                0.74846,                 0.6967,                0.45537,                0.90142,               0.009307,               0.009307,               0.009307
                     10,                 0.7396,                0.50696,                0.92841,                0.95234,                0.93883,                0.96567,                0.77259,                0.64535,                0.42457,                0.88746,               0.009208,               0.009208,               0.009208
                     11,                0.72832,                0.49408,                0.92585,                0.95944,                0.94634,                0.97025,                0.76946,                0.67643,                0.41375,                0.88499,               0.009109,               0.009109,               0.009109
                     12,                0.72186,                0.48368,                0.92416,                0.96043,                0.94953,                0.97381,                0.79214,                0.62657,                0.39817,                0.87693,                0.00901,                0.00901,                0.00901
                     13,                0.71664,                0.47673,                0.92408,                0.96113,                 0.9529,                 0.9753,                0.79188,                0.61362,                0.38603,                0.87491,               0.008911,               0.008911,               0.008911
                     14,                0.71009,                0.46708,                0.92081,                0.96121,                0.95311,                0.97243,                0.79409,                0.60855,                0.37999,                0.87335,               0.008812,               0.008812,               0.008812
                     15,                0.70708,                0.46159,                 0.9204,                0.95865,                0.95213,                0.97421,                0.79702,                0.59746,                0.37632,                0.87347,               0.008713,               0.008713,               0.008713
                     16,                0.70321,                0.45489,                0.91903,                0.96008,                0.95435,                0.97649,                0.79852,                0.60907,                0.36854,                0.87389,               0.008614,               0.008614,               0.008614
                     17,                0.69588,                0.45038,                0.91663,                0.96446,                0.95538,                0.97778,                0.80365,                0.59527,                0.36489,                0.86993,               0.008515,               0.008515,               0.008515
                     18,                0.69455,                0.44489,                0.91591,                0.96591,                0.95747,                0.97835,                0.80862,                0.58947,                0.35717,                0.86781,               0.008416,               0.008416,               0.008416
                     19,                0.69162,                0.44237,                0.91654,                0.96599,                0.95745,                0.97771,                0.80929,                0.58769,                0.35173,                0.86828,               0.008317,               0.008317,               0.008317
                     20,                0.68607,                0.43592,                 0.9144,                0.97037,                0.95784,                0.97776,                0.81444,                0.57713,                0.34702,                0.86321,               0.008218,               0.008218,               0.008218
                     21,                0.68562,                0.43474,                0.91388,                0.96735,                0.95765,                0.97763,                0.80981,                0.58973,                 0.3517,                0.86632,               0.008119,               0.008119,               0.008119
                     22,                0.67927,                 0.4292,                0.91211,                0.96476,                0.95835,                0.97621,                0.79724,                0.62384,                0.36041,                 0.8735,                0.00802,                0.00802,                0.00802
                     23,                0.67761,                0.42594,                0.91171,                0.96857,                0.96037,                0.97694,                 0.8066,                0.59795,                0.34895,                0.86596,               0.007921,               0.007921,               0.007921
                     24,                0.67368,                0.42392,                0.90985,                0.94001,                0.90053,                0.94858,                 0.7525,                0.67296,                0.45892,                0.90828,               0.007822,               0.007822,               0.007822
                     25,                0.67645,                0.42409,                0.91197,                0.97079,                0.95879,                 0.9779,                0.80403,                0.61784,                0.34858,                0.86761,               0.007723,               0.007723,               0.007723
                     26,                 0.6709,                0.41887,                0.91003,                0.97024,                0.95961,                0.97732,                0.80207,                0.61703,                0.34633,                0.86739,               0.007624,               0.007624,               0.007624
